2,100,7,100,1,"['01', '10']",1.0,"[0.2, 0.8]"
'1','0','0','1','1','1','0','1','0','0','0','0','0','1','0','1','1','1','0','0','1','1','0','0','1','1','1','0','1','0','0','1','0','0','1','1','1','1','1','0','0','0','1','0','0','0','0','0','0','0','1','1','1','1','0','0','1','0','1','0','0','0','0','1','1','0','1','1','0','1','0','1','1','1','1','0','1','1','1','1','0','1','0','0','0','0','1','1','1','0','1','1','0','1','0','1','1','0','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','1','0','1','1','0','0','1','0','1','0','0','1','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','1','0','1','1','0','1','0','1','1','0','1','0','1','0','1','1','1','1','0','0','1','1','1','1','0','0','0','0','0','1','0','0','1','0','0','0','0','1','0','1','0','1','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','0','1','0','1','1','1','0','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','0','1','1','0','1','1','0','1','0','0','1','1','1','1','0','1','1','0','0','0','1','0','0','1','0','1','1','1','1','0','1','1','1','0','1','1','0','1','0','0','0','1','0','0','0','1','0','1','0','0','1','0','0','0','0','1','1','1','1','0','1','0','1','0','1','0','0','1','0','1','0','1','1','0','0','0','0','1','1','0','1','0','0','1','0','1','0','1','1','1','1','0','1','1','0','1','1','1','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','0','0','1','1','1','1','0','1','1','1','0','0','1','0','0','1','0','0','0','1','1','1','1','1','1','1','1','1','0','1','1','1','0','0','0','1','0','0','0','1','0','0','1','0','0','0','1','0','1','0','1','0','1','1','1','1','0','1','1','0','0','0','0','0','1','1','1','1','1','0','1','0','1','1','1','0','1','0','0','1','0','1','0','1','0','1','0','1','1','0','1','0','0','0','1','0','0','0','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','0','1','0','1','1','0','0','0','1','0','1','0','0','1','1','0','1','1','1','0','1','0','0','1','0','1','0','1','1','0','0','1','1','1','0','1','0','0','0','1','1','1','1','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','1','1','1','0','0','0','1','1','0','0','0','0','1','1','0','1','1','1','1','0','1','0','1','1','1','1','0','0','0','1','1','0','1','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','0','0','0','0','0','1','1','1','1','1','1','1','0','0','0','1','1','0','1','1','0','0','0','1','1','1','1','1','1','0','1','0','1','0','1','1','1','0','1','0','1','0','0','0','0','0','1','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','1','0','0','1','1','1','1','0','1','0','1','1','0','0','0','0','0','1','1','0','0','1','0','0','1','1','0','1','1','1','1','1','0','1','1','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','0','0','1','1','1','1','1','1','1','1','1','0','1','0','0','1','0','1','0','1','1','0','0','0','1','1','0','0','0','1','1','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','1','1','0','0','1','0','1','1','1','1','0','1','1','1','0','0','0','1','0','1','0','1','0','1','0','1','0','1','0','1','1','0','0','1','1','1','0','0','0','1','0','1','1','1','1','1','1','1','1','0','1','0','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','1','0','1','1','1','0','0','0','1','0','0','0','0','0','0','1','1','1','0','1','0','1','1','0','0','1','1','1','0','1','0','1','0','1','0','0','0','0','1','0','0','1','1','0','0','1','0','0','0','0','1','1','0','0','0','0','0','1','0','0','0','0','0','1','0','1','1','1','1','0','0','1','0','0','1','1','1','0','0','1','0','1','1','0','1','0','1','1','0','0','1','1','1','0','0','0','0','0','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','1','1','0','0','0','1','1','1','0','0','0','0','0','1','0','1','0','1','1','1','0','1','0','1','1','0','0','1','0','1','0','1','0','1','1','1','1','1','1','0','0','1','1','1','1','0','0','0','0','0','1','1','0','1','1','0','1','1','0','0','1','0','1','1','0','0','1','0','0','1','1','0','1','0','1','1','1','1','1','0','1','0','0','1','0','1','1','1','0','0','1','0','0','1','1','0','0','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','1','0','1','0','1','0','1','1','0','1','1','0','1','0','0','1','1','1','0','1','0','1','1','1','0','1','0','1','0','1','0','0','0','1','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','0','1','0','0','1','1','0','1','0','0','0','1','0','1','0','1','0','1','0','1','1','0','1','0','0','0','1','0','0','0','0','0','1','0','0','1','1','0','0','0','0','0','0','0','1','1','1','1','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','1','1','1','1','0','1','0','0','0','0','0','0','1','1','1','0','1','0','0','0','1','1','0','0','0','0','0','1','1','1','1','1','0','0','0','0','1','1','1','1','1','0','0','0','0','1','0','1','1','0','1','0','1','1','1','0','1','0','1','1','0','0','0','1','0','1','0','1','0','0','0','0','1','0','0','0','0','1','1','1','1','0','0','1','0','0','0','0','1','0','1','1','0','0','0','1','0','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','0','0','1','1','0','1','0','1','0','1','1','1','1','0','0','0','0','1','1','1','0','1','1','1','1','1','1','1','0','0','1','1','0','1','1','0','1','1','0','0','0','1','1','0','1','1','0','0','1','1','0','1','0','1','0','1','1','1','1','1','1','1','0','0','1','1','1','0','0','1','0','1','0','1','0','0','0','1','0','1','1','1','0','1','1','0','1','0','0','0','0','0','0','0','0','1','0','1','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','1','1','1','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','1','0','1','0','0','1','1','1','1','1','1','1','0','0','1','1','1','0','0','0','1','0','1','0','0','0','1','1','1','0','0','0','0','0','0','0','0','0','1','0','1','0','1','1','1','1','1','1','0','0','1','0','0','0','0','1','1','0','0','1','0','0','1','0','1','1','0','1','1','0','1','1','1','0','0','0','0','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','1','0','1','1','1','1','0','1','0','0','0','0','1','0','1','1','0','0','0','0','0','0','1','1','0','1','1','1','1','1','0','0','1','1','1','1','1','0','1','0','0','0','1','1','1','0','0','0','1','1','0','0','0','0','0','1','1','0','1','1','1','1','1','1','0','0','1','0','1','0','0','1','1','1','0','0','1','1','1','0','0','0','1','0','1','1','0','1','0','1','0','0','0','1','0','1','1','1','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','0','0','1','1','1','0','1','0','1','1','0','1','1','0','1','1','0','1','0','0','0','0','1','1','1','0','1','0','0','1','0','1','1','0','0','0','1','1','1','1','0','1','1','0','1','0','0','1','1','0','0','1','1','0','0','0','0','0','1','0','0','0','1','1','0','0','1','1','0','0','0','1','1','1','1','1','0','0','0','1','1','1','1','1','0','0','1','0','0','1','0','0','1','0','0','1','0','1','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','1','1','1','1','1','1','0','1','0','0','1','0','0','1','0','1','0','0','0','1','1','1','0','1','1','1','1','1','1','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','1','1','0','0','0','0','1','0','0','1','1','0','1','1','1','0','0','1','1','1','0','0','1','1','1','1','0','0','0','1','1','1','1','1','0','1','1','0','0','1','0','1','0','1','0','1','1','0','1','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','1','0','0','0','0','0','1','1','1','0','0','1','0','1','1','1','0','0','1','1','0','0','0','1','1','0','0','1','1','0','0','1','1','0','1','0','1','0','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','1','0','1','0','0','1','0','0','1','0','1','0','0','0','1','0','0','1','0','0','1','0','1','1','0','1','0','0','1','1','1','1','1','0','0','0','0','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','1','0','1','0','0','0','1','0','1','0','1','1','0','0','1','0','1','0','0','1','1','0','1','0','1','0','1','1','0','1','1','1','0','1','1','1','0','0','0','1','1','0','1','1','1','0','0','0','1','0','0','0','1','0','1','1','1','0','0','0','1','0','0','1','0','1','1','0','1','1','0','0','1','1','0','1','0','0','1','0','0','0','0','1','0','1','1','1','1','0','1','0','1','0','1','1','1','1','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','1','0','0','0','0','0','1','0','0','0','1','1','1','1','1','0','1','1','0','1','1','1','1','0','1','0','1','0','0','1','0','1','1','0','1','1','1','1','0','0','0','1','0','0','1','0','0','0','0','1','0','0','1','1','1','0','0','0','1','1','0','1','0','1','1','0','0','1','1','1','0','1','1','1','1','1','1','1','0','0','1','1','0','0','0','0','1','0','0','1','0','1','1','1','0','1','0','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','1','1','0','1','1','1','1','0','1','0','1','0','1','0','0','1','1','0','0','1','1','0','0','1','0','1','0','0','0','1','1','1','0','0','0','1','0','0','0','1','1','1','1','0','0','1','0','0','1','1','0','0','0','0','1','0','1','1','1','1','1','0','0','1','1','0','1','0','0','0','1','1','0','0','0','1','0','1','1','0','1','1','0','0','1','1','1','1','0','1','0','0','1','0','1','1','1','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','1','0','1','0','0','0','1','1','1','1','0','1','1','0','0','0','1','0','0','1','1','0','1','0','0','1','1','0','1','1','0','0','0','1','0','0','1','0','1','0','1','0','0','0','1','0','1','0','0','1','0','1','0','0','1','1','0','1','1','0','0','1','0','1','0','0','0','1','0','0','0','0','0','1','0','1','1','0','0','1','0','0','1','0','1','1','0','1','0','1','1','0','0','0','0','0','1','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','0','0','1','1','0','0','0','0','0','0','1','0','1','1','1','0','0','0','1','1','1','0','0','0','1','1','0','1','0','1','1','1','0','1','0','1','0','0','0','1','1','1','1','0','1','0','1','0','0','1','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','1','0','1','1','1','1','0','0','1','0','0','0','0','0','1','1','1','0','1','1','0','0','0','1','1','1','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'0','0','0','0','0','0','0','1','0','1','1','1','0','0','1','0','1','1','0','0','1','0','0','0','0','1','1','1','0','1','1','0','0','1','0','1','0','0','0','0','1','1','1','1','1','0','0','0','1','1','1','1','1','1','0','1','0','0','0','0','0','0','0','1','1','0','1','0','0','1','0','1','0','1','1','1','1','0','0','1','0','1','0','1','1','0','0','0','0','1','1','0','1','0','1','1','0','1','1','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','1','1','1','0','0','0','1','0','1','0','0','0','0','1','0','1','1','1','1','1','0','0','0','0','0','1','0','1','0','1','1','1','0','1','1','0','0','1','0','0','1','0','0','1','0','0','1','1','1','0','0','0','0','1','0','1','1','0','0','1','1','1','0','1','0','0','0','0','1','0','0','0','1','0','1','0','1','1','1','0','1','1','1','1','1','1','0','0','0','1','1','1','0','0','1','0','0','1','1'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
'1','0','1','0','1','0','0','0','1','0','0','1','1','1','0','1','1','1','0','0','1','1','0','0','0','1','1','1','0','1','1','1','1','0','1','0','0','0','0','1','0','0','0','0','1','0','1','1','1','1','1','1','0','1','0','1','1','0','1','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','1','1','1','0','1','0','1','0','1','0','1','1','1','1','0','0','1','1','0','0','1','0','0','0','0','0'
'-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-','-'
